location,forecast_date,target_date,week_of_season,season_year,actual,predicted,residual_log
Nevada,2025-04-19,2025-04-26,24,2024,29.0,30.232914355621986,-0.04027510438300519
Nevada,2025-04-26,2025-05-03,25,2024,19.0,27.42683878619032,-0.35160145303839485
Nevada,2025-11-01,2025-11-08,0,2025,13.0,5.941111373816979,0.7015954275981879
Nevada,2025-11-08,2025-11-15,1,2025,17.0,11.22441914020673,0.386936237757578
Nevada,2025-11-15,2025-11-22,2,2025,11.0,20.78470300797195,-0.5963013768205379
Nevada,2025-11-22,2025-11-29,3,2025,13.0,11.267387036404333,0.13211304903894305
Nevada,2025-11-29,2025-12-06,4,2025,31.0,12.96684620403094,0.8290495099184794
Nevada,2025-12-06,2025-12-13,5,2025,53.0,38.647193448036866,0.30896388414031817
Nevada,2025-12-13,2025-12-20,6,2025,117.0,66.91475294101633,0.552431338965385
Illinois,2024-11-02,2024-11-09,0,2024,36.0,43.94706564910749,-0.19456756581123846
Illinois,2024-11-09,2024-11-16,1,2024,34.0,53.13844788662885,-0.4361965537713637
Illinois,2024-11-16,2024-11-23,2,2024,86.0,53.64177965971085,0.4651093332835359
Illinois,2024-11-23,2024-11-30,3,2024,83.0,109.93652087193676,-0.27814135484436786
Illinois,2024-11-30,2024-12-07,4,2024,107.0,92.36791615944392,0.1455834509727154
Illinois,2024-12-07,2024-12-14,5,2024,242.0,138.87035545010735,0.5523454822634584
Illinois,2024-12-14,2024-12-21,6,2024,489.00000000000006,344.2308924255881,0.3501919445160038
Illinois,2024-12-21,2024-12-28,7,2024,1143.0,634.5104476263755,0.5878576414353374
Illinois,2024-12-28,2025-01-04,8,2024,1595.0,649.5640145460748,0.8974160766805568
Illinois,2025-01-04,2025-01-11,9,2024,1410.0,788.8394899792157,0.5802242042765382
Illinois,2025-01-11,2025-01-18,10,2024,1383.0,1012.8499095713314,0.3112229811564866
Illinois,2025-01-18,2025-01-25,11,2024,1728.0,743.8506191965182,0.842114798554392
Illinois,2025-01-25,2025-02-01,12,2024,2146.0,1141.3393925875334,0.6309932604077968
Illinois,2025-02-01,2025-02-08,13,2024,2369.0,1316.5717670827812,0.58709948302812
Illinois,2025-02-08,2025-02-15,14,2024,2064.0,2026.2449490428803,0.01845252310501433
Illinois,2025-02-15,2025-02-22,15,2024,1706.0,2128.9626005603704,-0.22136697733251776
Illinois,2025-02-22,2025-03-01,16,2024,1311.0,1811.8263804173978,-0.32333447296821394
Illinois,2025-03-01,2025-03-08,17,2024,960.0,1611.1253881277419,-0.5173342952695981
Illinois,2025-03-08,2025-03-15,18,2024,718.0,1331.0313530856176,-0.6165990314548306
Illinois,2025-03-15,2025-03-22,19,2024,509.0,520.679247625512,-0.022642205150982697
Illinois,2025-03-22,2025-03-29,20,2024,355.0,607.4889786069839,-0.5360480690154379
Illinois,2025-03-29,2025-04-05,21,2024,297.0,373.6765196734351,-0.22896955299510413
Illinois,2025-04-05,2025-04-12,22,2024,156.0,329.3345083599487,-0.7438599974009339
Illinois,2025-04-12,2025-04-19,23,2024,156.0,103.89492459185985,0.4032866744162815
Illinois,2025-04-19,2025-04-26,24,2024,124.0,96.26882726964797,0.2508351769380859
Illinois,2025-04-26,2025-05-03,25,2024,81.0,101.1746755116197,-0.21996460637110804
Illinois,2025-11-01,2025-11-08,0,2025,29.0,39.023233809151904,-0.28826274905528226
Illinois,2025-11-08,2025-11-15,1,2025,46.0,38.90831909395499,0.16356280095168874
Illinois,2025-11-15,2025-11-22,2,2025,86.0,55.623129096545114,0.4294905756348406
Illinois,2025-11-22,2025-11-29,3,2025,132.0,106.7381923914122,0.21064498861695835
Illinois,2025-11-29,2025-12-06,4,2025,196.0,151.4475695680486,0.2563829979165497
Illinois,2025-12-06,2025-12-13,5,2025,249.0,263.8735308840778,-0.05779155226091692
Illinois,2025-12-13,2025-12-20,6,2025,557.0,323.10359957696676,0.5432957459179262
South Carolina,2024-11-02,2024-11-09,0,2024,21.0,12.006540657876304,0.5255900948940506
South Carolina,2024-11-09,2024-11-16,1,2024,13.0,25.49248201762747,-0.6378036656791646
South Carolina,2024-11-16,2024-11-23,2,2024,13.0,18.115437430848804,-0.31143892143810126
South Carolina,2024-11-23,2024-11-30,3,2024,18.0,19.365818563247334,-0.06941895573687518
South Carolina,2024-11-30,2024-12-07,4,2024,40.0,21.789051032725098,0.5872918639483724
South Carolina,2024-12-07,2024-12-14,5,2024,80.0,59.10710517212032,0.2983210976211641
South Carolina,2024-12-14,2024-12-21,6,2024,160.0,104.06571190106978,0.4268183829461494
South Carolina,2024-12-21,2024-12-28,7,2024,327.0,197.15163042708429,0.5039810605348487
South Carolina,2024-12-28,2025-01-04,8,2024,520.0,257.7671391641834,0.6998214610517639
South Carolina,2025-01-04,2025-01-11,9,2024,443.0,373.0987358500486,0.17130480026039407
South Carolina,2025-01-11,2025-01-18,10,2024,642.0,298.36549959703973,0.7644794906986006
South Carolina,2025-01-18,2025-01-25,11,2024,833.0,391.15918632721844,0.7545655574300909
South Carolina,2025-01-25,2025-02-01,12,2024,1287.0,481.10052916633504,0.9826932476255816
South Carolina,2025-02-01,2025-02-08,13,2024,1241.0,673.52134331345,0.6104749441832382
South Carolina,2025-02-08,2025-02-15,14,2024,690.0,905.6453306643934,-0.27161151422192464
South Carolina,2025-02-15,2025-02-22,15,2024,479.0,639.0702420425296,-0.2877918196207929
South Carolina,2025-02-22,2025-03-01,16,2024,446.0,567.2525683844837,-0.24000738792318277
South Carolina,2025-03-01,2025-03-08,17,2024,408.0,460.7942959602061,-0.12140438904774964
South Carolina,2025-03-08,2025-03-15,18,2024,269.0,421.43696381859036,-0.44761827860520764
South Carolina,2025-03-15,2025-03-22,19,2024,188.0,262.4402427756579,-0.33207954456762945
South Carolina,2025-03-22,2025-03-29,20,2024,137.0,189.57832923399903,-0.32280960198077935
South Carolina,2025-03-29,2025-04-05,21,2024,80.0,98.76552967103936,-0.20837357490494401
South Carolina,2025-04-05,2025-04-12,22,2024,43.0,67.38164054172938,-0.44091474154837984
South Carolina,2025-04-12,2025-04-19,23,2024,34.0,62.98881479946407,-0.6033602378380452
South Carolina,2025-04-19,2025-04-26,24,2024,33.0,55.32618448438738,-0.5047989909419694
South Carolina,2025-04-26,2025-05-03,25,2024,16.0,169.4889319145146,-1.6
South Carolina,2025-11-01,2025-11-08,0,2025,16.0,19.33842305856429,-0.17929851448119472
South Carolina,2025-11-08,2025-11-15,1,2025,20.0,12.082159659340547,0.47327299375340726
South Carolina,2025-11-15,2025-11-22,2,2025,41.0,22.169727841876455,0.5948230260506486
South Carolina,2025-11-22,2025-11-29,3,2025,52.0,44.66425908195916,0.14897599861490995
South Carolina,2025-11-29,2025-12-06,4,2025,86.0,64.4540989577256,0.28455900094531206
South Carolina,2025-12-06,2025-12-13,5,2025,123.0,82.4927025724477,0.3955223319092793
South Carolina,2025-12-13,2025-12-20,6,2025,379.0,149.38853741420974,0.9269490581103916
Colorado,2024-11-02,2024-11-09,0,2024,20.0,25.984164298251336,-0.25072774874594517
Colorado,2024-11-09,2024-11-16,1,2024,29.0,34.31760970341217,-0.163184316342186
Colorado,2024-11-16,2024-11-23,2,2024,31.0,37.33037641681554,-0.18050679696756822
Colorado,2024-11-23,2024-11-30,3,2024,67.0,33.272771456494745,0.6851565013457535
Colorado,2024-11-30,2024-12-07,4,2024,90.0,70.61759560053365,0.23951871413068826
Colorado,2024-12-07,2024-12-14,5,2024,129.0,121.3001669905783,0.061056042345740025
Colorado,2024-12-14,2024-12-21,6,2024,179.0,153.58463280394741,0.1522151193931025
Colorado,2024-12-21,2024-12-28,7,2024,475.0,191.92815620502324,0.9030999822702537
Colorado,2024-12-28,2025-01-04,8,2024,760.0,239.49507112269913,1.1519337628181923
Colorado,2025-01-04,2025-01-11,9,2024,499.0,341.06322024300755,0.3796125239313586
Colorado,2025-01-11,2025-01-18,10,2024,441.0,452.2481393099841,-0.025129862330929953
Colorado,2025-01-18,2025-01-25,11,2024,456.0,341.9432652316608,0.287118364897462
Colorado,2025-01-25,2025-02-01,12,2024,543.0,334.3438586905783,0.4837927976116889
Colorado,2025-02-01,2025-02-08,13,2024,622.0,345.9137144057966,0.5854704314167938
Colorado,2025-02-08,2025-02-15,14,2024,583.0,465.3411247819437,0.22498358907491234
Colorado,2025-02-15,2025-02-22,15,2024,484.0,440.7340507237824,0.09344088514604643
Colorado,2025-02-22,2025-03-01,16,2024,381.0,387.09968083729717,-0.01584160739561291
Colorado,2025-03-01,2025-03-08,17,2024,311.0,398.02169028636115,-0.24601258922279445
Colorado,2025-03-08,2025-03-15,18,2024,215.0,365.1101689645447,-0.527655888523201
Colorado,2025-03-15,2025-03-22,19,2024,162.0,296.48057365095195,-0.6015987233946101
Colorado,2025-03-22,2025-03-29,20,2024,121.0,219.20759058864328,-0.5905496502992715
Colorado,2025-03-29,2025-04-05,21,2024,86.0,144.40745057127467,-0.5136316870252378
Colorado,2025-04-05,2025-04-12,22,2024,62.00000000000001,68.66206006512718,-0.10052111125184204
Colorado,2025-04-12,2025-04-19,23,2024,40.0,47.88161021804795,-0.17582918988420415
Colorado,2025-04-19,2025-04-26,24,2024,42.0,33.024602235459106,0.23411625758559662
Colorado,2025-04-26,2025-05-03,25,2024,30.0,25.260663745327037,0.1659150600225754
Colorado,2025-11-01,2025-11-08,0,2025,28.0,19.813934110998687,0.3316731583855659
Colorado,2025-11-08,2025-11-15,1,2025,46.0,31.822834812431598,0.35902314523730183
Colorado,2025-11-15,2025-11-22,2,2025,97.0,47.22083610637119,0.7091762666574377
Colorado,2025-11-22,2025-11-29,3,2025,149.0,116.16268826299732,0.24707182717123644
Colorado,2025-11-29,2025-12-06,4,2025,222.0,215.81320567599658,0.02813559196002302
Colorado,2025-12-06,2025-12-13,5,2025,283.0,225.82555812919108,0.2247929824926871
Colorado,2025-12-13,2025-12-20,6,2025,511.0,391.2573940481718,0.26640638325815047
New Hampshire,2024-11-02,2024-11-09,0,2024,5.0,2.660575182382807,0.49413918050561767
New Hampshire,2024-11-09,2024-11-16,1,2024,6.0,4.755353631527583,0.19577966106685296
New Hampshire,2024-11-16,2024-11-23,2,2024,11.0,7.703485232889765,0.32118310286523055
New Hampshire,2024-11-23,2024-11-30,3,2024,14.0,13.99342994327409,0.00043809973340280806
New Hampshire,2024-11-30,2024-12-07,4,2024,16.0,18.956162814127847,-0.16032466456472738
New Hampshire,2024-12-07,2024-12-14,5,2024,22.0,22.95422853027232,-0.04065064893106518
New Hampshire,2024-12-14,2024-12-21,6,2024,24.0,24.552090724103053,-0.021843317165742615
New Hampshire,2024-12-21,2024-12-28,7,2024,53.0,27.373542230355863,0.6435269472240992
New Hampshire,2024-12-28,2025-01-04,8,2024,108.0,58.162815854858806,0.611054648243079
New Hampshire,2025-01-04,2025-01-11,9,2024,90.0,89.7002491032797,0.00329940294661224
New Hampshire,2025-01-11,2025-01-18,10,2024,86.0,71.10569296210353,0.1877751182283216
New Hampshire,2025-01-18,2025-01-25,11,2024,144.0,65.64027555259277,0.7774246096276674
New Hampshire,2025-01-25,2025-02-01,12,2024,174.0,88.98217368971147,0.6651743933260423
New Hampshire,2025-02-01,2025-02-08,13,2024,203.0,85.51799123640038,0.8577676103612886
New Hampshire,2025-02-08,2025-02-15,14,2024,205.0,115.76004308846993,0.5677552537692208
New Hampshire,2025-02-15,2025-02-22,15,2024,212.0,153.56105088589993,0.3207029960583174
New Hampshire,2025-02-22,2025-03-01,16,2024,190.0,140.9212415237859,0.29700116146989064
New Hampshire,2025-03-01,2025-03-08,17,2024,145.0,140.0689396707425,0.034357916984316006
New Hampshire,2025-03-08,2025-03-15,18,2024,79.0,143.15608097601577,-0.5888699735781069
New Hampshire,2025-03-15,2025-03-22,19,2024,53.0,98.80566194992589,-0.6142408681090794
New Hampshire,2025-03-22,2025-03-29,20,2024,34.0,36.14475720886239,-0.05947457478561491
New Hampshire,2025-03-29,2025-04-05,21,2024,17.0,25.84159789530178,-0.3995810865373852
New Hampshire,2025-04-05,2025-04-12,22,2024,22.0,10.59127235897446,0.6852417838458842
New Hampshire,2025-04-12,2025-04-19,23,2024,22.0,16.887832981844042,0.25137345588265037
New Hampshire,2025-04-19,2025-04-26,24,2024,9.0,24.557874311523385,-0.9383603684060322
New Hampshire,2025-04-26,2025-05-03,25,2024,6.0,20.755644719560227,-1.1339631021440886
New Hampshire,2025-11-01,2025-11-08,0,2025,4.996003610813204e-16,2.8954469537123724,-1.359808423371549
New Hampshire,2025-11-08,2025-11-15,1,2025,5.0,1.275604703807771,0.9695136482731841
New Hampshire,2025-11-15,2025-11-22,2,2025,12.0,1.6935224662754587,1.574099553435109
New Hampshire,2025-11-22,2025-11-29,3,2025,11.0,9.5232720899464,0.13131745567383835
New Hampshire,2025-11-29,2025-12-06,4,2025,25.0,16.25106718377484,0.41022253073164094
New Hampshire,2025-12-06,2025-12-13,5,2025,46.0,22.690207814455217,0.6850858113340572
New Hampshire,2025-12-13,2025-12-20,6,2025,84.0,52.44951164699371,0.46391375569348625
Rhode Island,2024-11-02,2024-11-09,0,2024,3.0,2.862508141259314,0.03497761112884645
Rhode Island,2024-11-09,2024-11-16,1,2024,0.0,3.2725950966878425,-1.4522213936154578
Rhode Island,2024-11-16,2024-11-23,2,2024,2.0,0.7643673223088615,0.5308201201595137
Rhode Island,2024-11-23,2024-11-30,3,2024,6.0,3.708635688882254,0.396511945645013
Rhode Island,2024-11-30,2024-12-07,4,2024,10.0,11.237392125942026,-0.1066009199789173
Rhode Island,2024-12-07,2024-12-14,5,2024,28.0,11.217808944562954,0.8644011930915925
Rhode Island,2024-12-14,2024-12-21,6,2024,29.0,25.9105209048314,0.10868005981483808
Rhode Island,2024-12-21,2024-12-28,7,2024,65.0,33.169466439803784,0.6583222908937225
Rhode Island,2024-12-28,2025-01-04,8,2024,93.0,48.44263270200187,0.6424817200933015
Rhode Island,2025-01-04,2025-01-11,9,2024,69.0,57.59591565008619,0.17783024669945657
Rhode Island,2025-01-11,2025-01-18,10,2024,107.0,49.61848778142932,0.7578143463881011
Rhode Island,2025-01-18,2025-01-25,11,2024,114.0,66.81192917646577,0.5281940023381377
Rhode Island,2025-01-25,2025-02-01,12,2024,173.0,67.88530677206629,0.9266123983335843
Rhode Island,2025-02-01,2025-02-08,13,2024,202.0,84.4133456676791,0.8657036180012723
Rhode Island,2025-02-08,2025-02-15,14,2024,180.0,98.42831145442963,0.599060134672599
Rhode Island,2025-02-15,2025-02-22,15,2024,160.0,100.50127405964325,0.4613330142696448
Rhode Island,2025-02-22,2025-03-01,16,2024,107.0,97.71208413399512,0.08992385521054569
Rhode Island,2025-03-01,2025-03-08,17,2024,79.0,73.55761725748502,0.07045442219070974
Rhode Island,2025-03-08,2025-03-15,18,2024,68.0,65.80168622475146,0.032378181487755064
Rhode Island,2025-03-15,2025-03-22,19,2024,43.0,70.25846755820886,-0.48212402109146835
Rhode Island,2025-03-22,2025-03-29,20,2024,26.0,65.9611172792934,-0.9082752458096888
Rhode Island,2025-03-29,2025-04-05,21,2024,25.0,33.264994996893364,-0.27602774100413496
Rhode Island,2025-04-05,2025-04-12,22,2024,22.0,27.637313858481757,-0.21921633190727086
Rhode Island,2025-04-12,2025-04-19,23,2024,17.0,23.39265571986367,-0.3039103340073237
Rhode Island,2025-04-19,2025-04-26,24,2024,4.0,27.79122110392582,-1.6
Rhode Island,2025-04-26,2025-05-03,25,2024,8.0,15.200537039549314,-0.5878198149421139
Rhode Island,2025-11-01,2025-11-08,0,2025,4.0,0.544163068012111,1.1749558524108001
Rhode Island,2025-11-08,2025-11-15,1,2025,6.0,2.491917235547482,0.6954592125193493
Rhode Island,2025-11-15,2025-11-22,2,2025,4.000000000000001,6.985041486496702,-0.4681320647731293
Rhode Island,2025-11-22,2025-11-29,3,2025,13.0,3.3017776863272936,1.1800289769234011
Rhode Island,2025-11-29,2025-12-06,4,2025,27.0,14.51698995759799,0.5902689602611519
Rhode Island,2025-12-06,2025-12-13,5,2025,70.0,27.75763718211926,0.9037765039571188
Rhode Island,2025-12-13,2025-12-20,6,2025,127.0,71.05284957029434,0.5746303923561715
Maryland,2024-11-02,2024-11-09,0,2024,9.0,6.210827867225615,0.32700132620474265
Maryland,2024-11-09,2024-11-16,1,2024,11.0,8.577186408151631,0.2255227952892911
Maryland,2024-11-16,2024-11-23,2,2024,16.0,21.794217857116504,-0.2932935569835138
Maryland,2024-11-23,2024-11-30,3,2024,21.0,25.733784965361707,-0.19488566666949048
Maryland,2024-11-30,2024-12-07,4,2024,37.0,41.40086115801979,-0.10958251263592977
Maryland,2024-12-07,2024-12-14,5,2024,73.0,39.758290970440875,0.5964058148150326
Maryland,2024-12-14,2024-12-21,6,2024,131.0,89.11229445578905,0.38174531383162424
Maryland,2024-12-21,2024-12-28,7,2024,195.0,185.36549331508968,0.05040489581632546
Maryland,2024-12-28,2025-01-04,8,2024,457.0,176.15421718469145,0.9498485473581901
Maryland,2025-01-04,2025-01-11,9,2024,372.0,210.98721600652146,0.565052448646064
Maryland,2025-01-11,2025-01-18,10,2024,466.0,187.99352678402826,0.9046164930157499
Maryland,2025-01-18,2025-01-25,11,2024,611.0,269.5792865077101,0.816167116240174
Maryland,2025-01-25,2025-02-01,12,2024,810.0,315.67487110648244,0.9403924497672493
Maryland,2025-02-01,2025-02-08,13,2024,1086.0,480.67578300348276,0.8139056487710645
Maryland,2025-02-08,2025-02-15,14,2024,1081.0,663.511728991708,0.4875139305560676
Maryland,2025-02-15,2025-02-22,15,2024,764.0,746.346846152328,0.02334643764465749
Maryland,2025-02-22,2025-03-01,16,2024,548.0,654.3644837474494,-0.17709310309375326
Maryland,2025-03-01,2025-03-08,17,2024,379.0,587.5530115259479,-0.4374957489815605
Maryland,2025-03-08,2025-03-15,18,2024,291.0,493.4559338536687,-0.5267042322932296
Maryland,2025-03-15,2025-03-22,19,2024,210.0,390.9754179072504,-0.6193409949277981
Maryland,2025-03-22,2025-03-29,20,2024,135.0,217.6640457748376,-0.47488162868229367
Maryland,2025-03-29,2025-04-05,21,2024,129.0,101.90275467383076,0.23375003757709845
Maryland,2025-04-05,2025-04-12,22,2024,94.0,99.51227737142757,-0.05640299133708737
Maryland,2025-04-12,2025-04-19,23,2024,62.0,112.3615840370951,-0.587447842403277
Maryland,2025-04-19,2025-04-26,24,2024,47.0,12.4,1.2759463039510255
Maryland,2025-04-26,2025-05-03,25,2024,41.0,21.49626191330284,0.6243204600618455
Maryland,2025-11-01,2025-11-08,0,2025,20.0,20.838503917592686,-0.03915220886518922
Maryland,2025-11-08,2025-11-15,1,2025,33.0,18.503399602462636,0.5557717356538383
Maryland,2025-11-15,2025-11-22,2,2025,66.0,34.05842762665787,0.6476765889738085
Maryland,2025-11-22,2025-11-29,3,2025,91.0,80.89583975554235,0.11634038411583436
Maryland,2025-11-29,2025-12-06,4,2025,134.0,106.99348172555217,0.22320390752864494
Maryland,2025-12-06,2025-12-13,5,2025,222.0,166.03748464899695,0.28895352525448104
Maryland,2025-12-13,2025-12-20,6,2025,380.0,335.147369879685,0.12524971048833056
New York,2024-11-02,2024-11-09,0,2024,54.99999999999999,16.282177204399673,1.1756759396710401
New York,2024-11-09,2024-11-16,1,2024,63.0,77.29307793408228,-0.20157611131133457
New York,2024-11-16,2024-11-23,2,2024,103.0,91.8293015614044,0.11362855960352736
New York,2024-11-23,2024-11-30,3,2024,145.0,145.16524788585093,-0.0011311947924514953
New York,2024-11-30,2024-12-07,4,2024,275.0,173.30200060287683,0.4596114353288936
New York,2024-12-07,2024-12-14,5,2024,432.0,312.623248757357,0.3225453072060027
New York,2024-12-14,2024-12-21,6,2024,736.0,594.5539489672794,0.21309591309391518
New York,2024-12-21,2024-12-28,7,2024,1528.0,752.036273469103,0.7082558073516791
New York,2024-12-28,2025-01-04,8,2024,2593.9999999999995,951.8480465569545,1.0018863521332264
New York,2025-01-04,2025-01-11,9,2024,2249.0,1162.8028238015615,0.6592372766155803
New York,2025-01-11,2025-01-18,10,2024,2617.0,1626.1522359758853,0.4755792751118504
New York,2025-01-18,2025-01-25,11,2024,2931.0,1791.336282224865,0.49216482958557695
New York,2025-01-25,2025-02-01,12,2024,3128.0,2230.5654681379074,0.33801012185473667
New York,2025-02-01,2025-02-08,13,2024,2942.0,2198.365074095251,0.2912607532248108
New York,2025-02-08,2025-02-15,14,2024,2492.0,2228.1766657128,0.11185449544406012
New York,2025-02-15,2025-02-22,15,2024,2035.0,2440.567425233281,-0.18165312176506365
New York,2025-02-22,2025-03-01,16,2024,1630.0,1967.2338053377707,-0.1879432714598952
New York,2025-03-01,2025-03-08,17,2024,1278.0,1503.8428011739425,-0.162609919101528
New York,2025-03-08,2025-03-15,18,2024,1107.0,1498.8026946576779,-0.3027769742364548
New York,2025-03-15,2025-03-22,19,2024,894.0,600.7011564560459,0.39706281406926625
New York,2025-03-22,2025-03-29,20,2024,611.0,690.1733120217922,-0.12165832315251013
New York,2025-03-29,2025-04-05,21,2024,508.0,672.4846837732217,-0.28001723779887744
New York,2025-04-05,2025-04-12,22,2024,395.0,453.4418717872281,-0.1376557993262244
New York,2025-04-12,2025-04-19,23,2024,283.0,409.19152316397447,-0.36764994213428004
New York,2025-04-19,2025-04-26,24,2024,209.0,166.35635038784127,0.22698215703470126
New York,2025-04-26,2025-05-03,25,2024,157.0,237.8133571770524,-0.41308728150447127
New York,2025-11-01,2025-11-08,0,2025,78.0,57.240427308428245,0.3048681115789229
New York,2025-11-08,2025-11-15,1,2025,182.0,79.7421945692908,0.8182248570913062
New York,2025-11-15,2025-11-22,2,2025,351.0,227.80260123044386,0.43077154714290256
New York,2025-11-22,2025-11-29,3,2025,683.0,489.64336468565176,0.3322403985799838
New York,2025-11-29,2025-12-06,4,2025,1174.0,778.7698241978859,0.4100246476265612
New York,2025-12-06,2025-12-13,5,2025,1692.0,1499.3635036049584,0.1207946886647564
New York,2025-12-13,2025-12-20,6,2025,2385.0,2342.64213886992,0.01791213474696196
Ohio,2024-11-02,2024-11-09,0,2024,24.0,33.81082466967116,-0.3310525672712301
Ohio,2024-11-09,2024-11-16,1,2024,40.0,16.184567800974108,0.869560306502065
Ohio,2024-11-16,2024-11-23,2,2024,40.0,63.059555250912986,-0.446241134756896
Ohio,2024-11-23,2024-11-30,3,2024,55.0,46.65319554521831,0.1614020000248253
Ohio,2024-11-30,2024-12-07,4,2024,93.0,77.84155936734318,0.17585452129545232
Ohio,2024-12-07,2024-12-14,5,2024,152.0,83.15562767185949,0.5977701263208264
Ohio,2024-12-14,2024-12-21,6,2024,308.0,184.04922956583093,0.5127193814580311
Ohio,2024-12-21,2024-12-28,7,2024,725.0,340.5973383883723,0.7539173445438614
Ohio,2024-12-28,2025-01-04,8,2024,1302.0,490.96656667353056,0.9740138168570969
Ohio,2025-01-04,2025-01-11,9,2024,1044.0,572.1733512701844,0.6005839606802397
Ohio,2025-01-11,2025-01-18,10,2024,1148.0,768.4449914074305,0.40097781327526594
Ohio,2025-01-18,2025-01-25,11,2024,1735.0,728.4799094046751,0.8670070678633222
Ohio,2025-01-25,2025-02-01,12,2024,2523.0,1132.419542431217,0.8006057377668228
Ohio,2025-02-01,2025-02-08,13,2024,3269.0,1611.2603898001357,0.7071528217355567
Ohio,2025-02-08,2025-02-15,14,2024,3705.0,2413.16243097262,0.42860072038745045
Ohio,2025-02-15,2025-02-22,15,2024,3266.0,3185.1151950069525,0.02506976515980419
Ohio,2025-02-22,2025-03-01,16,2024,2611.0,3291.77808961915,-0.23161540119404478
Ohio,2025-03-01,2025-03-08,17,2024,1905.0,2381.1436442971462,-0.22299396795389104
Ohio,2025-03-08,2025-03-15,18,2024,1361.0,2348.434619712694,-0.5452205041266662
Ohio,2025-03-15,2025-03-22,19,2024,797.0,1910.733664029244,-0.8736571894029668
Ohio,2025-03-22,2025-03-29,20,2024,453.0,993.1667368864507,-0.7838077378944135
Ohio,2025-03-29,2025-04-05,21,2024,274.0,301.5977258533333,-0.09563318830363787
Ohio,2025-04-05,2025-04-12,22,2024,169.0,253.84975014786397,-0.40487571934631017
Ohio,2025-04-12,2025-04-19,23,2024,107.0,164.8369686399448,-0.4288739620129496
Ohio,2025-04-19,2025-04-26,24,2024,87.0,83.7155712595395,0.038037389580485303
Ohio,2025-04-26,2025-05-03,25,2024,47.0,27.14631212793074,0.5337846727932583
Ohio,2025-11-01,2025-11-08,0,2025,42.0,25.831186762626096,0.47163521956091126
Ohio,2025-11-08,2025-11-15,1,2025,47.0,33.88943543531502,0.319016937115133
Ohio,2025-11-15,2025-11-22,2,2025,90.0,72.01571253602165,0.2201848483098363
Ohio,2025-11-22,2025-11-29,3,2025,125.0,130.50014842460507,-0.04272607336992529
Ohio,2025-11-29,2025-12-06,4,2025,176.0,197.72878575034622,-0.11579127690063018
Ohio,2025-12-06,2025-12-13,5,2025,329.0,242.47287484905422,0.304087115066781
Ohio,2025-12-13,2025-12-20,6,2025,702.0,497.8509711142628,0.34304949574709465
Massachusetts,2024-11-02,2024-11-09,0,2024,39.0,8.926900313369734,1.3936311785261757
Massachusetts,2024-11-09,2024-11-16,1,2024,16.0,42.60874111106328,-0.9420442704032004
Massachusetts,2024-11-16,2024-11-23,2,2024,50.0,33.563485119017955,0.38902785130856365
Massachusetts,2024-11-23,2024-11-30,3,2024,72.0,41.45501882374413,0.5420143063160734
Massachusetts,2024-11-30,2024-12-07,4,2024,95.0,98.95955991480663,-0.040417511876245094
Massachusetts,2024-12-07,2024-12-14,5,2024,133.0,114.95464214825456,0.14464070127454498
