reference_date,horizon,model,weight
2025-12-20,2,ARIMA,0.17920396759258667
2025-12-20,2,LGBM_blended,0.43075774938943084
2025-12-20,2,LGBM_bounded,0.13913942111477043
2025-12-20,2,LGBM_bounded_wide_1,0.197690535471923
2025-12-20,2,SVM,0.05320832643128907
2025-12-27,2,ARIMA,0.17920396759258667
2025-12-27,2,LGBM_blended,0.43075774938943084
2025-12-27,2,LGBM_bounded,0.13913942111477043
2025-12-27,2,LGBM_bounded_wide_1,0.197690535471923
2025-12-27,2,SVM,0.05320832643128907
2026-01-03,2,ARIMA,0.17920396759258667
2026-01-03,2,LGBM_blended,0.43075774938943084
2026-01-03,2,LGBM_bounded,0.13913942111477043
2026-01-03,2,LGBM_bounded_wide_1,0.197690535471923
2026-01-03,2,SVM,0.05320832643128907
2025-11-08,3,SVM,1
2025-11-15,3,SVM,1
2025-11-22,3,ARIMA,0.3333333333333333
2025-11-22,3,LGBM_bounded,0.3333333333333333
2025-11-22,3,SVM,0.3333333333333333
2025-11-29,3,ARIMA,0.041792354555608834
2025-11-29,3,LGBM_blended,0.18369445176462404
2025-11-29,3,LGBM_bounded,0.3466295888515503
2025-11-29,3,SVM,0.4278836048282168
2025-12-06,3,ARIMA,0.08120450851812758
2025-12-06,3,LGBM_blended,0.5161629647083067
2025-12-06,3,LGBM_bounded,0.14313821069105442
2025-12-06,3,LGBM_bounded_wide_1,0.1573414846460394
2025-12-06,3,SVM,0.10215283143647201
2025-12-13,3,ARIMA,0.10188995781731197
2025-12-13,3,LGBM_blended,0.4627906019323663
2025-12-13,3,LGBM_bounded,0.1250000216795682
2025-12-13,3,LGBM_bounded_wide_1,0.23038711077864957
2025-12-13,3,SVM,0.07993230779210404
2025-12-20,3,ARIMA,0.10188995781731197
2025-12-20,3,LGBM_blended,0.4627906019323663
2025-12-20,3,LGBM_bounded,0.1250000216795682
2025-12-20,3,LGBM_bounded_wide_1,0.23038711077864957
2025-12-20,3,SVM,0.07993230779210404
2025-12-27,3,ARIMA,0.10188995781731197
2025-12-27,3,LGBM_blended,0.4627906019323663
2025-12-27,3,LGBM_bounded,0.1250000216795682
2025-12-27,3,LGBM_bounded_wide_1,0.23038711077864957
2025-12-27,3,SVM,0.07993230779210404
2026-01-03,3,ARIMA,0.10188995781731197
2026-01-03,3,LGBM_blended,0.4627906019323663
2026-01-03,3,LGBM_bounded,0.1250000216795682
2026-01-03,3,LGBM_bounded_wide_1,0.23038711077864957
2026-01-03,3,SVM,0.07993230779210404
