location,horizon,forecast_date,target_date,week_of_season,season_year,actual,predicted,residual_log
Michigan,4,2024-11-09,2024-12-07,1,2024,94.0,136.36283250037718,-0.3687489457747386
Minnesota,4,2024-11-09,2024-12-07,1,2024,40.0,112.42243824403413,-1.0175471731292065
Mississippi,4,2024-11-09,2024-12-07,1,2024,39.0,104.30722662717582,-0.9680025916091776
Missouri,4,2024-11-09,2024-12-07,1,2024,54.0,203.67929194253205,-1.3141111393596248
Montana,4,2024-11-09,2024-12-07,1,2024,2.0,18.195525108940657,-1.6
Nebraska,4,2024-11-09,2024-12-07,1,2024,13.0,29.15988586552712,-0.7674554292178377
Nevada,4,2024-11-09,2024-12-07,1,2024,82.0,62.36504388407079,0.2699282567027099
New Hampshire,4,2024-11-09,2024-12-07,1,2024,16.0,11.226488682686682,0.329608542474185
New Jersey,4,2024-11-09,2024-12-07,1,2024,109.0,171.76183488413636,-0.4514336032447019
New Mexico,4,2024-11-09,2024-12-07,1,2024,103.0,49.27318963773692,0.7269189733256942
New York,4,2024-11-09,2024-12-07,1,2024,275.0,395.1323314549324,-0.3613474600555966
North Carolina,4,2024-11-09,2024-12-07,1,2024,65.0,197.30876152271816,-1.100170475693818
North Dakota,4,2024-11-09,2024-12-07,1,2024,2.0,14.290506371546297,-1.6
Ohio,4,2024-11-09,2024-12-07,1,2024,93.0,78.07280068349966,0.1729258265096636
Oklahoma,4,2024-11-09,2024-12-07,1,2024,40.0,140.31343576659998,-1.2374083052781648
Oregon,4,2024-11-09,2024-12-07,1,2024,119.0,93.0034001536966,0.244160789318391
Pennsylvania,4,2024-11-09,2024-12-07,1,2024,208.0,387.9382634445173,-0.6210863732603817
Puerto Rico,4,2024-11-09,2024-12-07,1,2024,457.0,37.96981813732117,1.6
Rhode Island,4,2024-11-09,2024-12-07,1,2024,10.0,16.719706977373505,-0.4767821359762352
South Carolina,4,2024-11-09,2024-12-07,1,2024,40.0,99.97395471083148,-0.9012905427315124
South Dakota,4,2024-11-09,2024-12-07,1,2024,0.9999999999999994,19.10584910073401,-1.6
Tennessee,4,2024-11-09,2024-12-07,1,2024,115.0,173.32213672224296,-0.4073147569252944
Texas,4,2024-11-09,2024-12-07,1,2024,530.0,669.833194863026,-0.2337584929672838
US,4,2024-11-09,2024-12-07,1,2024,6518.0,6432.150092145751,0.0132566661914754
Utah,4,2024-11-09,2024-12-07,1,2024,64.0,56.13136849732143,0.129033943353364
Vermont,4,2024-11-09,2024-12-07,1,2024,1.6653345369377348e-16,9.38928937625862,-1.6
Virginia,4,2024-11-09,2024-12-07,1,2024,69.0,185.3251522701148,-0.978998035946642
Washington,4,2024-11-09,2024-12-07,1,2024,78.0,131.7031268102083,-0.5186666515943532
West Virginia,4,2024-11-09,2024-12-07,1,2024,13.0,44.98976313164371,-1.1893615014915584
Wisconsin,4,2024-11-09,2024-12-07,1,2024,27.0,124.95253070868176,-1.50370058538449
Wyoming,4,2024-11-09,2024-12-07,1,2024,5.0,7.338627695793335,-0.3291391887347035
Alabama,4,2024-11-16,2024-12-14,2,2024,193.0,160.1898177227423,0.1852754964774972
Alaska,4,2024-11-16,2024-12-14,2,2024,27.0,15.364799757252683,0.5370718383340316
Arizona,4,2024-11-16,2024-12-14,2,2024,1023.0,407.7748843545808,0.918307206086113
Arkansas,4,2024-11-16,2024-12-14,2,2024,42.0,104.40821080362798,-0.8966404187422401
California,4,2024-11-16,2024-12-14,2,2024,1521.0,794.6664648558078,0.6486004543883865
Colorado,4,2024-11-16,2024-12-14,2,2024,129.0,102.16014395558538,0.231251873984073
Connecticut,4,2024-11-16,2024-12-14,2,2024,24.0,51.56432596285184,-0.7431618511505618
Delaware,4,2024-11-16,2024-12-14,2,2024,15.0,18.986332867895552,-0.2224599611144375
District of Columbia,4,2024-11-16,2024-12-14,2,2024,4.0,18.808169153013765,-1.37665652366277
Florida,4,2024-11-16,2024-12-14,2,2024,893.0,503.5860819749046,0.5719673216400496
Georgia,4,2024-11-16,2024-12-14,2,2024,215.0,247.2861628958884,-0.1393035559146174
Hawaii,4,2024-11-16,2024-12-14,2,2024,34.0,32.75080482216358,0.0363437978725751
Idaho,4,2024-11-16,2024-12-14,2,2024,110.0,34.0144736054271,1.153768693719909
Illinois,4,2024-11-16,2024-12-14,2,2024,242.0,239.14274578953544,0.0118279226835174
Indiana,4,2024-11-16,2024-12-14,2,2024,142.0,238.27392400234123,-0.5147643909039648
Iowa,4,2024-11-16,2024-12-14,2,2024,23.0,54.24166524969648,-0.8336636434610116
Kansas,4,2024-11-16,2024-12-14,2,2024,90.0,85.16351666922952,0.0546126589349187
Kentucky,4,2024-11-16,2024-12-14,2,2024,79.0,93.71916154273931,-0.1688896844667589
Louisiana,4,2024-11-16,2024-12-14,2,2024,252.0,163.367714593938,0.4312834086397084
Maine,4,2024-11-16,2024-12-14,2,2024,2.0,33.11575757173932,-1.6
Maryland,4,2024-11-16,2024-12-14,2,2024,73.0,112.45927797932596,-0.4273788950156731
Massachusetts,4,2024-11-16,2024-12-14,2,2024,133.0,153.23000785490592,-0.1406052457144291
Michigan,4,2024-11-16,2024-12-14,2,2024,172.0,175.77270433417328,-0.0215731565366743
Minnesota,4,2024-11-16,2024-12-14,2,2024,91.0,134.18479250537422,-0.3848540987641824
Mississippi,4,2024-11-16,2024-12-14,2,2024,62.0,116.88124255813035,-0.626542972295586
Missouri,4,2024-11-16,2024-12-14,2,2024,88.0,228.38972559623025,-0.946786045800696
Montana,4,2024-11-16,2024-12-14,2,2024,6.0,20.63321166862668,-1.1283195620244284
Nebraska,4,2024-11-16,2024-12-14,2,2024,19.0,29.1679244671706,-0.4110469826588949
Nevada,4,2024-11-16,2024-12-14,2,2024,114.0,70.70847591487477,0.472323174147772
New Hampshire,4,2024-11-16,2024-12-14,2,2024,22.0,15.42757664051528,0.3365327907710398
New Jersey,4,2024-11-16,2024-12-14,2,2024,174.0,192.48667905565367,-0.1004226940869514
New Mexico,4,2024-11-16,2024-12-14,2,2024,108.0,59.58269240976858,0.5873386337456052
New York,4,2024-11-16,2024-12-14,2,2024,432.0,453.1280412374845,-0.0476414594335663
North Carolina,4,2024-11-16,2024-12-14,2,2024,173.0,212.69722762728207,-0.2055048898269911
North Dakota,4,2024-11-16,2024-12-14,2,2024,5.0,14.899625357079705,-0.9745360772727144
Ohio,4,2024-11-16,2024-12-14,2,2024,152.0,119.67413675246776,0.2373440933625135
Oklahoma,4,2024-11-16,2024-12-14,2,2024,56.0,156.09860088953593,-1.0138223715282717
Oregon,4,2024-11-16,2024-12-14,2,2024,242.0,114.08070034272608,0.7474278189725032
Pennsylvania,4,2024-11-16,2024-12-14,2,2024,349.0,431.0046445800264,-0.2105031850455097
Puerto Rico,4,2024-11-16,2024-12-14,2,2024,470.0,96.8837524746475,1.5710775186753034
Rhode Island,4,2024-11-16,2024-12-14,2,2024,28.0,18.528037834054388,0.3954445594717195
South Carolina,4,2024-11-16,2024-12-14,2,2024,80.0,112.75599459509051,-0.3396066015070982
South Dakota,4,2024-11-16,2024-12-14,2,2024,8.0,22.408083107459067,-0.9558568173222536
Tennessee,4,2024-11-16,2024-12-14,2,2024,217.0,201.87869650526875,0.0718868165151818
Texas,4,2024-11-16,2024-12-14,2,2024,705.0,699.2648844974058,0.0081565676026267
US,4,2024-11-16,2024-12-14,2,2024,9591.0,8998.77899857522,0.063729396404355
Utah,4,2024-11-16,2024-12-14,2,2024,90.0,62.21713567153031,0.364284108071029
Vermont,4,2024-11-16,2024-12-14,2,2024,8.0,10.961044532384731,-0.2844305028564178
Virginia,4,2024-11-16,2024-12-14,2,2024,140.0,204.5338907395385,-0.3768510484011464
Washington,4,2024-11-16,2024-12-14,2,2024,188.0,124.37909284333612,0.410405124498121
West Virginia,4,2024-11-16,2024-12-14,2,2024,21.0,53.40872913378932,-0.905482149649114
Wisconsin,4,2024-11-16,2024-12-14,2,2024,66.0,128.69513613561006,-0.6604939703462991
Wyoming,4,2024-11-16,2024-12-14,2,2024,33.0,9.34074355192573,1.1902687478770284
Alabama,4,2024-11-23,2024-12-21,3,2024,432.0,153.8651539972088,1.0281829639419886
Alaska,4,2024-11-23,2024-12-21,3,2024,22.0,15.248563617614732,0.3474897038224438
Arizona,4,2024-11-23,2024-12-21,3,2024,1534.0,469.80483892854,1.1818420065899913
Arkansas,4,2024-11-23,2024-12-21,3,2024,59.0,108.9727045823981,-0.605887632618435
California,4,2024-11-23,2024-12-21,3,2024,2564.0,863.2661148564639,1.0878330329180024
Colorado,4,2024-11-23,2024-12-21,3,2024,179.0,105.03353496091232,0.5292014392560294
Connecticut,4,2024-11-23,2024-12-21,3,2024,45.0,52.31806128206589,-0.1476337381090928
Delaware,4,2024-11-23,2024-12-21,3,2024,43.0,16.556663887766465,0.9187560473728512
District of Columbia,4,2024-11-23,2024-12-21,3,2024,16.0,17.659236548524838,-0.0931279367277491
Florida,4,2024-11-23,2024-12-21,3,2024,1264.0,493.1651888132225,0.9399575495595104
Georgia,4,2024-11-23,2024-12-21,3,2024,397.0,250.95221669478465,0.4572125520429928
Hawaii,4,2024-11-23,2024-12-21,3,2024,42.0,37.07962302264617,0.1215208054347836
Idaho,4,2024-11-23,2024-12-21,3,2024,188.0,45.71804338990434,1.3976165569135524
Illinois,4,2024-11-23,2024-12-21,3,2024,489.00000000000006,270.24989642651485,0.5913648680878101
Indiana,4,2024-11-23,2024-12-21,3,2024,288.0,216.09703795446543,0.2860822550132686
Iowa,4,2024-11-23,2024-12-21,3,2024,42.0,52.88222021364606,-0.2256004416374564
Kansas,4,2024-11-23,2024-12-21,3,2024,120.0,89.5136551720844,0.290289820393605
Kentucky,4,2024-11-23,2024-12-21,3,2024,200.0,97.57914808168496,0.7124451487172889
Louisiana,4,2024-11-23,2024-12-21,3,2024,423.0,137.23808086204724,1.120756032925592
Maine,4,2024-11-23,2024-12-21,3,2024,10.0,34.3296691880978,-1.1668278250444923
Maryland,4,2024-11-23,2024-12-21,3,2024,131.0,123.70326086444364,0.0568649205675075
Massachusetts,4,2024-11-23,2024-12-21,3,2024,142.0,142.29625840226237,-0.0020695939909289
Michigan,4,2024-11-23,2024-12-21,3,2024,296.0,178.85602390431256,0.5015754751752048
Minnesota,4,2024-11-23,2024-12-21,3,2024,227.0,134.56829620054447,0.5198700846153157
Mississippi,4,2024-11-23,2024-12-21,3,2024,100.0,106.13427151350892,-0.0589624048824157
Missouri,4,2024-11-23,2024-12-21,3,2024,250.0,212.88319690034567,0.1600228819947089
Montana,4,2024-11-23,2024-12-21,3,2024,27.0,25.648205325779703,0.0494827042031933
Nebraska,4,2024-11-23,2024-12-21,3,2024,78.0,33.94889298712259,0.815561058477035
Nevada,4,2024-11-23,2024-12-21,3,2024,208.0,83.75729020778478,0.9025424892529196
New Hampshire,4,2024-11-23,2024-12-21,3,2024,24.0,17.904951217617807,0.279451967924412
New Jersey,4,2024-11-23,2024-12-21,3,2024,335.0,201.87308750458493,0.5045305611373445
New Mexico,4,2024-11-23,2024-12-21,3,2024,207.0,64.71355567472855,1.1522328486328082
New York,4,2024-11-23,2024-12-21,3,2024,736.0,447.358947215491,0.4969937591177711
North Carolina,4,2024-11-23,2024-12-21,3,2024,292.0,213.640102712998,0.3112099243636699
North Dakota,4,2024-11-23,2024-12-21,3,2024,8.0,14.495680592165584,-0.543336736279683
Ohio,4,2024-11-23,2024-12-21,3,2024,308.0,224.04001895811783,0.3170630284728233
Oklahoma,4,2024-11-23,2024-12-21,3,2024,106.0,153.2629949665098,-0.3658300709112909
Oregon,4,2024-11-23,2024-12-21,3,2024,392.0,123.404931033208,1.1502677938191566
Pennsylvania,4,2024-11-23,2024-12-21,3,2024,632.0,450.393851257092,0.3381301793486582
Puerto Rico,4,2024-11-23,2024-12-21,3,2024,553.0,167.94014004998942,1.187620235455798
Rhode Island,4,2024-11-23,2024-12-21,3,2024,29.0,17.173380734284862,0.5012394552358082
South Carolina,4,2024-11-23,2024-12-21,3,2024,160.0,98.79850461990088,0.4782511655478307
South Dakota,4,2024-11-23,2024-12-21,3,2024,14.0,22.93933086553277,-0.4674725481579966
Tennessee,4,2024-11-23,2024-12-21,3,2024,372.0,204.8715032503188,0.594326216109593
Texas,4,2024-11-23,2024-12-21,3,2024,1181.0,741.936946142186,0.4643520207226626
US,4,2024-11-23,2024-12-21,3,2024,16121.0,7509.68148696864,0.7638585932651125
Utah,4,2024-11-23,2024-12-21,3,2024,163.0,64.52199050811583,0.9174806085803544
Vermont,4,2024-11-23,2024-12-21,3,2024,7.999999999999999,13.864632217582246,-0.5017601373064036
Virginia,4,2024-11-23,2024-12-21,3,2024,192.0,207.9760939872785,-0.0795296736817219
Washington,4,2024-11-23,2024-12-21,3,2024,418.0,139.86777549289633,1.0900492319799977
West Virginia,4,2024-11-23,2024-12-21,3,2024,37.0,49.65594317718344,-0.2874704022324725
Wisconsin,4,2024-11-23,2024-12-21,3,2024,120.0,132.83863565631077,-0.1008443171887965
Wyoming,4,2024-11-23,2024-12-21,3,2024,18.0,9.470707603040122,0.5958573727052054
Alabama,4,2024-11-30,2024-12-28,4,2024,661.0,168.13688588864562,1.3645571931947469
Alaska,4,2024-11-30,2024-12-28,4,2024,35.0,14.500840927814872,0.8426246625951608
Arizona,4,2024-11-30,2024-12-28,4,2024,2340.0,602.1191543691557,1.3562186876822997
Arkansas,4,2024-11-30,2024-12-28,4,2024,127.0,111.19017813439028,0.1318348135719524
California,4,2024-11-30,2024-12-28,4,2024,3856.0,1067.6645303495525,1.2834799127579153
Colorado,4,2024-11-30,2024-12-28,4,2024,475.0,110.39097733346212,1.4523715234343395
Connecticut,4,2024-11-30,2024-12-28,4,2024,148.0,49.72205951355859,1.0775853910896376
Delaware,4,2024-11-30,2024-12-28,4,2024,96.0,21.729756456031613,1.4510360553451842
District of Columbia,4,2024-11-30,2024-12-28,4,2024,38.0,19.0523154763084,0.6652170139422959
Florida,4,2024-11-30,2024-12-28,4,2024,2091.0,528.5821561276431,1.373787514242097
Georgia,4,2024-11-30,2024-12-28,4,2024,800.0,247.12656363579555,1.1719219938400285
Hawaii,4,2024-11-30,2024-12-28,4,2024,57.0,33.58119116651885,0.5171330841951658
Idaho,4,2024-11-30,2024-12-28,4,2024,333.0,59.14925941922937,1.6
Illinois,4,2024-11-30,2024-12-28,4,2024,1143.0,338.993779129704,1.213358851174264
Indiana,4,2024-11-30,2024-12-28,4,2024,590.0,238.9863377149225,0.9012340218722869
Iowa,4,2024-11-30,2024-12-28,4,2024,118.0,48.402855398514966,0.8791152689987287
Kansas,4,2024-11-30,2024-12-28,4,2024,225.0,92.0191673434558,0.8877294268875469
Kentucky,4,2024-11-30,2024-12-28,4,2024,515.0,108.93628277533966,1.5462058150147024
Louisiana,4,2024-11-30,2024-12-28,4,2024,590.0,145.6843835953814,1.3935327892160636
Maine,4,2024-11-30,2024-12-28,4,2024,31.0,31.29998113791246,-0.0093307434631553
Maryland,4,2024-11-30,2024-12-28,4,2024,195.0,140.4422946498404,0.3262228369869202
Massachusetts,4,2024-11-30,2024-12-28,4,2024,287.0,168.3090967150143,0.5312344611053401
Michigan,4,2024-11-30,2024-12-28,4,2024,489.0,183.74726486076503,0.975416635928493
Minnesota,4,2024-11-30,2024-12-28,4,2024,543.0,138.3724636164482,1.3617993030747853
Mississippi,4,2024-11-30,2024-12-28,4,2024,212.0,116.0173640537188,0.5989698312079046
Missouri,4,2024-11-30,2024-12-28,4,2024,611.0,221.6208940066413,1.01126198461378
Montana,4,2024-11-30,2024-12-28,4,2024,60.0,24.771719424982457,0.8615961197720061
Nebraska,4,2024-11-30,2024-12-28,4,2024,131.0,33.49462192662013,1.3419984968854943
Nevada,4,2024-11-30,2024-12-28,4,2024,258.0,90.22967949107505,1.0434477845449166
New Hampshire,4,2024-11-30,2024-12-28,4,2024,53.0,20.150073342834727,0.9373406733316774
New Jersey,4,2024-11-30,2024-12-28,4,2024,723.0,206.0754545964353,1.2517081505811598
New Mexico,4,2024-11-30,2024-12-28,4,2024,234.0,66.12283093477116,1.2530612756581467
New York,4,2024-11-30,2024-12-28,4,2024,1528.0,517.6601043781678,1.0811204421660578
North Carolina,4,2024-11-30,2024-12-28,4,2024,611.0,203.1724547298789,1.0977672794660327
North Dakota,4,2024-11-30,2024-12-28,4,2024,22.0,15.193634994361638,0.3508759524794764
Ohio,4,2024-11-30,2024-12-28,4,2024,725.0,190.3568864070368,1.3334098150611382
Oklahoma,4,2024-11-30,2024-12-28,4,2024,282.0,150.35392063987365,0.6258259580519985
Oregon,4,2024-11-30,2024-12-28,4,2024,558.0,136.0820282327193,1.4055699802797488
Pennsylvania,4,2024-11-30,2024-12-28,4,2024,1210.0,481.9141801970176,0.9193627864391304
Puerto Rico,4,2024-11-30,2024-12-28,4,2024,707.0,159.47360911211575,1.4843145938516145
Rhode Island,4,2024-11-30,2024-12-28,4,2024,65.0,19.364826451634144,1.175845522856093
South Carolina,4,2024-11-30,2024-12-28,4,2024,327.0,99.659432434899,1.18127074548915
South Dakota,4,2024-11-30,2024-12-28,4,2024,33.0,23.677959151835545,0.3204500213873382
Tennessee,4,2024-11-30,2024-12-28,4,2024,747.0,186.41794710039267,1.3840618438101764
Texas,4,2024-11-30,2024-12-28,4,2024,2086.0,753.0277627381223,1.018053719139517
US,4,2024-11-30,2024-12-28,4,2024,28644.0,8655.460287808672,1.1966730115915514
Utah,4,2024-11-30,2024-12-28,4,2024,295.0,71.8602715591974,1.4018159356136488
Vermont,4,2024-11-30,2024-12-28,4,2024,19.0,14.034392083678004,0.2853918913411268
Virginia,4,2024-11-30,2024-12-28,4,2024,374.0,221.11330279468763,0.5237384013450646
Washington,4,2024-11-30,2024-12-28,4,2024,541.0,140.54459235966297,1.342651193651669
West Virginia,4,2024-11-30,2024-12-28,4,2024,108.0,54.85648638189855,0.6685622241218896
Wisconsin,4,2024-11-30,2024-12-28,4,2024,253.0,138.2199228982592,0.6012794050904153
Wyoming,4,2024-11-30,2024-12-28,4,2024,84.0,11.691581716773182,1.6
Alabama,4,2024-12-07,2025-01-04,5,2024,684.0,174.99521463808827,1.358962033150033
Alaska,4,2024-12-07,2025-01-04,5,2024,64.0,16.6721190926228,1.302399064743104
Arizona,4,2024-12-07,2025-01-04,5,2024,2846.0,678.823871758889,1.4321873347765983
Arkansas,4,2024-12-07,2025-01-04,5,2024,212.0,115.67280671795788,0.6019186722678658
California,4,2024-12-07,2025-01-04,5,2024,4011.0,1206.1390965229348,1.2010366930972172
Colorado,4,2024-12-07,2025-01-04,5,2024,760.0,138.28268720729386,1.6
Connecticut,4,2024-12-07,2025-01-04,5,2024,306.0,69.39148008524029,1.4727755132633682
Delaware,4,2024-12-07,2025-01-04,5,2024,185.0,22.249791483762976,1.6
District of Columbia,4,2024-12-07,2025-01-04,5,2024,96.0,17.669221800221905,1.6
Florida,4,2024-12-07,2025-01-04,5,2024,2880.0,635.3286340925429,1.510177584927062
Georgia,4,2024-12-07,2025-01-04,5,2024,1144.0,231.5319653151483,1.5941322151847128
Hawaii,4,2024-12-07,2025-01-04,5,2024,125.0,43.83942770933587,1.0331940717786567
Idaho,4,2024-12-07,2025-01-04,5,2024,252.00000000000003,87.85961251096566,1.0463317518981192
Illinois,4,2024-12-07,2025-01-04,5,2024,1595.0,318.3992965645325,1.6
Indiana,4,2024-12-07,2025-01-04,5,2024,829.0,266.17128546830577,1.1335357294676065
Iowa,4,2024-12-07,2025-01-04,5,2024,190.0,53.01109449587538,1.26308394895774
Kansas,4,2024-12-07,2025-01-04,5,2024,353.0,93.18146067491855,1.3240735590426
Kentucky,4,2024-12-07,2025-01-04,5,2024,678.0,117.23934761924792,1.6
Louisiana,4,2024-12-07,2025-01-04,5,2024,713.0,159.46415739383755,1.492812363127242
Maine,4,2024-12-07,2025-01-04,5,2024,88.0,33.09915144282902,0.9593638701268056
Maryland,4,2024-12-07,2025-01-04,5,2024,457.0,136.2010323744304,1.205421944255736
Massachusetts,4,2024-12-07,2025-01-04,5,2024,576.0,191.26317715456747,1.098977118704945
Michigan,4,2024-12-07,2025-01-04,5,2024,644.0,199.5219644595282,1.1683265276225647
Minnesota,4,2024-12-07,2025-01-04,5,2024,942.0,156.9069174583605,1.6
Mississippi,4,2024-12-07,2025-01-04,5,2024,273.0,113.9160225121571,0.8689264838039286
Missouri,4,2024-12-07,2025-01-04,5,2024,827.0,226.38335433025216,1.292375775702987
Montana,4,2024-12-07,2025-01-04,5,2024,71.0,27.12411786606249,0.9400386237455778
Nebraska,4,2024-12-07,2025-01-04,5,2024,211.0,43.15064624289212,1.5689787102910695
Nevada,4,2024-12-07,2025-01-04,5,2024,387.0,100.00028515691982,1.3458819994501603
